S/N,ProductName,Description,TextSpecifications,CleansedText
89,Helmskull Beads Bracelet,"Inspired by the spirited grit of a spartan in contrast with the rebellious tenacity of the skull, the Helmskull Beads Bracelet offers two styles in one, allowing you to switch it up depending on your mood or the occasion. But most of the time, we'd find it hard to disagree that it's these two opposing halves that make us whole.","Materials
- Spartan helmet charm embellished with black zirconia stones
- Skull charm decorated with red and white zirconia stones
- 8mm black lava and jasper red beads
Features
- Signature 2 sided emboss-deboss logo charm
- Comes packaged in a cotton dustbag",spartan charm embellish black zirconia stone skull charm red white zirconia stone black jasper red charm cotton
90,Chain Webbing Bag Strap,"An instant upgrade to your bag and change-up to your looks, this bag strap makes hands-free carry a breeze with length adjustability and comfy with its ultra-dense weave. Personalise it for that extra special touch.","Materials
- U.S full-grain leather
- Nylon Webbing
- Antique silver hardware

Features
- 1.5 inch width (Adjustable length of between 84cm and 132cm)
- 2 inch width (Adjustable length of between 84cm and 132cm)",nylon antique silver adjustable adjustable
91,Diamond Webbing Bag Strap,"An instant upgrade to your bag and change-up to your looks, this bag strap makes hands-free carry a breeze with length adjustability and comfy with its ultra-dense weave. Personalise it for that extra special touch.","Materials
- U.S full-grain leather
- Nylon Webbing
- Antique silver hardware

Features
- 1.5 inch width (Adjustable length of between 84cm and 132cm)
- 2 inch width (Adjustable length of between 84cm and 132cm)",nylon antique silver adjustable adjustable
92,Stripe Webbing Bag Strap,"An instant upgrade to your bag and change-up to your looks, this bag strap makes hands-free carry a breeze with length adjustability and comfy with its ultra-dense weave. Personalise it for that extra special touch.","Materials
- U.S full-grain leather
- Nylon Webbing
- Antique silver hardware

Features
- 1.5 inch width (Adjustable length of between 84cm and 132cm)
- 2 inch width (Adjustable length of between 84cm and 132cm)",nylon antique silver adjustable adjustable
93,Floral Webbing Bag Strap,"An instant upgrade to your bag and change-up to your looks, this bag strap makes hands-free carry a breeze with length adjustability and comfy with its ultra-dense weave. Personalise it for that extra special touch.","Materials
- U.S full-grain leather
- Nylon Webbing
- Antique silver hardware

Features
- 2 inch width (Adjustable length of between 84cm and 132cm)",nylon antique silver adjustable
94,Colour Block Webbing Bag Strap,"A classic add-on to our range of bags, this bag strap makes hands-free carry a breeze with length adjustability and comfy with the ultra-dense weave.","Materials
- U.S full-grain leather
- Nylon Webbing

Features
'1.5 inch width
- Adjustable length of between 84cm and 132cm

'2 inch width
- Adjustable length of between 84cm and 132cm",nylon adjustable adjustable
95,Military Webbing Bag Strap,"An instant upgrade to your bag and change-up to your looks, this bag strap makes hands-free carry a breeze with length adjustability and comfy with its ultra-dense weave. Personalise it for that extra special touch.","Materials
- U.S full-grain leather
- Cotton Webbing
- Silver hardware

Features
- 2 inch width (Adjustable length of between 84cm and 132cm)",cotton silver adjustable
96,Chevron Nylon Bag Strap,"An instant upgrade to your bag and change-up to your looks, this bag strap makes hands-free carry a breeze with length adjustability and comfy with its ultra-dense weave. Personalise it for that extra special touch.","Materials
- U.S full-grain leather
- Nylon Webbing
- Silver hardware

Features
- 1.5 inch width (Adjustable length of between 84cm and 132cm)",nylon silver adjustable
97,Twill Nylon Slim Bag Strap,"An instant upgrade to your bag and change-up to your looks, this bag strap makes hands-free carry a breeze with length adjustability and comfy with its ultra-dense weave. Personalise it for that extra special touch.","Materials
- U.S full-grain leather
- Nylon Webbing
- Gold Hardware

Features
-1 inch width (Adjustable length of between 84cm and 132cm)",nylon gold adjustable
98,Twill Cotton Bag Strap,"An instant upgrade to your bag and change-up to your looks, this bag strap makes hands-free carry a breeze with length adjustability and comfy with its ultra-dense weave. Personalise it for that extra special touch.","Materials
- U.S full-grain leather
- Cotton Webbing
- Silver Hardware

Features
-1.5 inch width (Adjustable length of between 84cm and 132cm)",cotton silver adjustable
99,Twill Nylon Bag Strap,"An instant upgrade to your bag and change-up to your looks, this bag strap makes hands-free carry a breeze with length adjustability and comfy with its ultra-dense weave. Personalise it for that extra special touch.","Materials
- U.S full-grain leather
- Nylon Webbing
- Gold Hardware

Features
-1.5 inch width (Adjustable length of between 84cm and 132cm)",nylon gold adjustable
